Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Classy product,"First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Worth the money,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Horrible,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Best in the market!,great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on top
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Super!,Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Simply awesome,Good product and svperipherals  seller has given right product
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Simply awesome,"It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice."
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Excellent,Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"₹47,990",3.7,7,1,"Battery issue, rest is good","First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,5,Good Value for the Price,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
