Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,"['Classy product', 'Worth the money', 'Horrible', 'Best in the market!', 'Super!', 'Simply awesome', 'Simply awesome', 'Excellent']","['First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with timeREAD MORE', 'Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.READ MORE', 'Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptopREAD MORE', 'great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on topREAD MORE', ""Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...READ MORE"", 'Good product and svperipherals  seller has given right productREAD MORE', ""It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice.READ MORE"", 'Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.READ MORE']"
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"₹47,990",3.7,7,1,"['Battery issue, rest is good']","['product is good with this price tag; RTX gpu is a plus point, battery life is very low around 2 hours (for only browsing)Bad thing about Flipkart is they give us old laptop whose battery is issued 3  months beforehandREAD MORE']"
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,0,,
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,24,990",4.3,25,1,['Good choice'],"[""Awesome laptop with a few niggles. The display is crisp and vibrant, the performance is top-notch. Including Windows Office and a 3-year Warranty is the icing on the cake. The niggle I want to mention is the weight (hefty) of the laptop and the charger brick (it's huge, takes a lot of space, and freaking heavy!). Other than that everything else is great.READ MORE""]"
Lenovo Legion 5 Pro Intel Core i7 12th Gen 12700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVID...,"₹1,44,990",No rating available,No ratings,No reviews,,
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,0,,
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,"['Good quality product', 'Highly recommended', 'Worth every penny', 'Classy product', 'Very poor', 'Good choice', 'Wonderful', 'Must buy!', 'Delightful', 'Really Nice']","[""Very powerful gaming machine, but I highly recommend u to use cooling pads, as temperature rise above 100degrees .I was playing uncharted 4 in highest possible settings, I could easily get 60+ fps, but the CPU temp reached 100degrees.Another thing I noticed is the hinges are poor quality,i don't get the robust feel in it, it's been just 1 month and the hinges feel like I have opened and closed it for years and made it looseREAD MORE"", 'its just a beastREAD MORE', ""It's an amazing product. I loved it ... It has better capacity to handle multiple tasking.READ MORE"", 'Value For Money 😁READ MORE', ""After using 12days of this laptop. I'm facing screen shacking issue double pictures viewing issue, while playing videos picture are drifting. video viewing issue like pictures are shacking and half of the screen trend into black color.READ MORE"", 'Excellent product great performance and build quality. I wish they could have packed this device with a 1tb SSD. Otherwise, I am satisfied with this productREAD MORE', 'Great product at this price. I have been an Intel user since long and this is my first AMD laptop. It seriously packs a good punch when it comes to gaming. RTX 3060 with a 165 hz screen and 16GB ram works like a charm. No major heating issues as the fans work well. Have been playing God of War, AC Valhalla on Ultra and it is smooth. Only con I noticed is the sound by Nahimic is pretty low and you have literally put it on full volume. Also storage is 512GB SSD which is a downgrade for laptops...READ MORE', 'Great Laptop with top of the line specs got it for around 84k by exchanging old Dell laptop. If you got editing and graphic designing work and if you use blender and premiere pro just go for it! Really a great machineREAD MORE', 'It is a lovely looking machine  ....but it is too early to say anything about it is performance and hardware.READ MORE', 'This is really good machine for any work but you have any heavy graphic design work or your first priority is for gaming then you should go for this laptop. You will never disappoint about your purchase...👍READ MORE']"
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,"['Absolute rubbish!', 'Mind-blowing purchase', 'Wonderful', 'Did not meet expectations', 'Delightful', 'Awesome', 'Worth the money']","[""1 star rating is for Flipkart's smart upgrade plan under which I bought the Lenovo laptop. I have no issues with the laptop however have issues with the plan. It's utterly a useless plan by Flipkart. Please scrap it and will request users to not subscribe to it.READ MORE"", 'Absolute gemREAD MORE', 'Nice beastREAD MORE', 'The speaker 🔊 is not workingREAD MORE', 'Awesome LaptopREAD MORE', ""One word, Beast! But don't except much on battery!READ MORE"", 'Awesome productREAD MORE']"
Lenovo Legion Slim 5 AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NV...,"₹1,37,490",No rating available,No ratings,No reviews,,
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,09,990",4.1,25,3,"['Wonderful', 'Highly recommended', 'Must buy!']","['It exceeded my expectations. Its powerful performance, high refresh rate display, and sleek design make it a top-tier gaming laptop. The keyboard is comfortable, and the cooling system keeps things running smoothly. Overall, a solid investment for any gamer.READ MORE', 'Osm product... Beast performanceREAD MORE', 'the most value for money productREAD MORE']"
